ID,angle,utensil,pills,sip,rating
C1-006,30,Cup,1,21.72,2
C1-006,30,Straw,2,26.5,4
C1-006,30,Cup,2,35.5,2
C1-006,65,Cup,0,13.76,1
C1-006,65,Straw,0,14.99,0
C1-006,65,Straw,1,23.87,0
C1-006,65,Cup,1,27.37,2
C1-006,65,Straw,2,28.48,1
C1-006,65,Cup,2,40.17,3
C1-006,90,Cup,0,25.16,0
C1-006,90,Straw,0,10.33,0
C1-006,90,Straw,1,17.71,0
C1-006,90,Cup,1,28.76,0
C1-006,90,Straw,2,27.94,2
C1-006,90,Cup,2,31.01,0
C1-007,30,Cup,0,15.01,2
C1-007,30,Straw,0,19.78,1
C1-007,30,Straw,1,17.75,3
C1-007,30,Cup,1,26.42,2
C1-007,30,Straw,2,22.38,3
C1-007,30,Cup,2,25.94,1
C1-007,65,Cup,0,22.69,0
C1-007,65,Straw,0,16.9,0
C1-007,65,Straw,1,19.26,1
C1-007,65,Cup,1,16.44,1
C1-007,65,Straw,2,28.79,2
C1-007,65,Cup,2,20.03,2
C1-007,90,Cup,0,30.33,0
C1-007,90,Straw,0,40.41,0
C1-007,90,Straw,1,22.68,0
C1-007,90,Cup,1,6.05,0
C1-007,90,Straw,2,26.07,2
C1-007,90,Cup,2,20.73,3
C1-008,30,Cup,0,15.61,1
C1-008,30,Straw,0,6.69,1
C1-008,30,Straw,1,10.32,3
C1-008,30,Cup,1,17.12,3
C1-008,30,Straw,2,28.36,3
C1-008,30,Cup,2,45.12,1
C1-008,65,Cup,0,13.86,0
C1-008,65,Straw,0,9.55,1
C1-008,65,Straw,1,14.5,0
C1-008,65,Cup,1,35.97,1
C1-008,65,Straw,2,34.06,0
C1-008,65,Cup,2,44.16,0
C1-008,90,Cup,0,23.41,0
C1-008,90,Straw,0,45.98,0
C1-008,90,Straw,1,26.37,0
C1-008,90,Cup,1,22.84,0
C1-008,90,Straw,2,30.09,2
C1-008,90,Cup,2,29.61,1
C1-009,30,Cup,0,22.4,3
C1-009,30,Straw,0,12.23,1
C1-009,30,Straw,1,16.83,3
C1-009,30,Cup,1,21.41,3
C1-009,30,Straw,2,30.04,3
C1-009,30,Cup,2,45.41,0
C1-009,65,Cup,0,22.23,0
C1-009,65,Straw,0,18.3,0
C1-009,65,Straw,1,14.25,0
C1-009,65,Cup,1,17.65,0
C1-009,65,Straw,2,33.26,2
C1-009,65,Cup,2,57.95,2
C1-009,90,Cup,0,19.96,0
C1-009,90,Straw,0,20,0
C1-009,90,Straw,1,14.08,0
C1-009,90,Cup,1,24.48,0
C1-009,90,Straw,2,30.51,2
C1-009,90,Cup,2,22.61,2
C1-010,30,Cup,0,16.3,3
C1-010,30,Straw,0,11.78,2
C1-010,30,Straw,1,24.29,3
C1-010,30,Cup,1,13.48,3
C1-010,30,Straw,2,32.24,2
C1-010,30,Cup,2,26.77,2
C1-010,65,Cup,0,13.1,1
C1-010,65,Straw,0,10.99,1
C1-010,65,Straw,1,28.15,1
C1-010,65,Cup,1,22.57,2
C1-010,65,Straw,2,26.96,2
C1-010,65,Cup,2,32.1,3
C1-010,90,Cup,0,29.79,0
C1-010,90,Straw,0,14.54,0
C1-010,90,Straw,1,46.46,0
C1-010,90,Cup,1,42.08,1
C1-010,90,Straw,2,50.2,2
C1-010,90,Cup,2,46.18,3
C1-011,30,Cup,0,17.36,2
C1-011,30,Straw,0,17.07,1
C1-011,30,Straw,1,41.87,3
C1-011,30,Cup,1,20.29,3
C1-011,30,Straw,2,12.22,4
C1-011,30,Cup,2,30.81,3
C1-011,65,Cup,0,17.07,1
C1-011,65,Straw,0,14.3,1
C1-011,65,Straw,1,47.55,1
C1-011,65,Cup,1,40.53,0
C1-011,65,Straw,2,31.95,2
C1-011,65,Cup,2,68.22,0
C1-011,90,Cup,0,33.12,0
C1-011,90,Straw,0,20.42,0
